record_id,employee_id,event_id,status,event_date
H0001,E001,EV003,skipped,2026-01-01
H0002,E001,EV003,skipped,2026-01-31
H0003,E001,EV003,declined,2026-03-02
H0004,E001,EV001,completed,2026-04-06
H0005,E001,EV026,completed,2026-04-21
H0006,E003,EV020,enrolled,2026-04-13
H0007,E003,EV012,invited,2026-05-11
H0008,E003,EV015,completed,2026-05-18
H0009,E003,EV015,completed,2026-06-14
H0010,E003,EV024,completed,2026-06-23
H0011,E004,EV021,invited,2026-01-30
H0012,E004,EV018,completed,2026-03-22
H0013,E004,EV021,completed,2026-04-22
H0014,E004,EV023,skipped,2026-05-11
H0015,E004,EV025,completed,2026-06-05
H0016,E005,EV006,skipped,2026-01-18
H0017,E005,EV002,skipped,2026-03-26
H0018,E005,EV005,completed,2026-04-21
H0019,E005,EV023,completed,2026-06-09
H0020,E005,EV007,skipped,2026-06-20
H0021,E006,EV021,skipped,2026-02-02
H0022,E006,EV009,skipped,2026-02-19
H0023,E006,EV011,completed,2026-04-18
H0024,E006,EV003,completed,2026-05-22
H0025,E006,EV010,completed,2026-06-20
H0026,E007,EV022,completed,2026-03-24
H0027,E007,EV014,completed,2026-04-30
H0028,E007,EV013,skipped,2026-05-29
H0029,E007,EV015,completed,2026-06-05
H0030,E007,EV025,skipped,2026-06-17
H0031,E008,EV018,completed,2026-01-24
H0032,E008,EV003,completed,2026-02-27
H0033,E008,EV022,skipped,2026-03-02
H0034,E008,EV016,completed,2026-03-21
H0035,E008,EV025,skipped,2026-06-22
H0036,E009,EV003,skipped,2026-03-04
H0037,E009,EV001,invited,2026-04-09
H0038,E009,EV026,declined,2026-04-13
H0039,E009,EV002,declined,2026-05-07
H0040,E009,EV004,completed,2026-06-28
H0041,E010,EV010,enrolled,2026-01-13
H0042,E010,EV008,completed,2026-04-29
H0043,E010,EV022,skipped,2026-05-13
H0044,E010,EV023,skipped,2026-05-23
H0045,E010,EV022,skipped,2026-06-28
H0046,E011,EV022,completed,2026-02-10
H0047,E011,EV014,invited,2026-04-20
H0048,E011,EV015,declined,2026-04-25
H0049,E011,EV023,completed,2026-05-10
H0050,E011,EV014,completed,2026-05-21
H0051,E012,EV020,invited,2026-01-20
H0052,E012,EV016,completed,2026-03-02
H0053,E012,EV018,completed,2026-03-11
H0054,E012,EV017,skipped,2026-03-15
H0055,E012,EV016,completed,2026-03-27
H0056,E013,EV004,invited,2026-01-16
H0057,E013,EV007,invited,2026-03-26
H0058,E013,EV022,enrolled,2026-04-17
H0059,E013,EV001,invited,2026-04-30
H0060,E013,EV025,skipped,2026-05-19
H0061,E014,EV021,completed,2026-01-02
H0062,E014,EV023,declined,2026-03-18
H0063,E014,EV010,completed,2026-04-01
H0064,E014,EV011,completed,2026-04-10
H0065,E014,EV003,completed,2026-05-03
H0066,E015,EV013,enrolled,2026-02-12
H0067,E015,EV023,completed,2026-04-14
H0068,E015,EV021,skipped,2026-04-30
H0069,E015,EV025,completed,2026-06-21
H0070,E015,EV025,completed,2026-06-23
H0071,E016,EV020,completed,2026-01-13
H0072,E016,EV020,completed,2026-02-16
H0073,E016,EV021,completed,2026-03-08
H0074,E016,EV021,completed,2026-04-08
H0075,E016,EV016,completed,2026-04-29
H0076,E017,EV002,declined,2026-01-14
H0077,E017,EV023,completed,2026-02-27
H0078,E017,EV001,enrolled,2026-03-31
H0079,E017,EV004,invited,2026-05-19
H0080,E017,EV022,completed,2026-06-16
H0081,E018,EV010,completed,2026-01-30
H0082,E018,EV011,declined,2026-02-02
H0083,E018,EV009,skipped,2026-05-02
H0084,E018,EV008,declined,2026-05-25
H0085,E018,EV009,enrolled,2026-06-21
H0086,E019,EV025,invited,2026-01-07
H0087,E019,EV021,completed,2026-01-28
H0088,E019,EV014,completed,2026-03-21
H0089,E019,EV025,completed,2026-05-28
H0090,E019,EV015,invited,2026-05-29
H0091,E020,EV023,completed,2026-01-11
H0092,E020,EV020,completed,2026-01-31
H0093,E020,EV025,completed,2026-03-30
H0094,E020,EV021,invited,2026-05-25
H0095,E020,EV016,completed,2026-06-03
H0096,E021,EV003,declined,2026-02-09
H0097,E021,EV023,completed,2026-04-03
H0098,E021,EV025,enrolled,2026-04-22
H0099,E021,EV025,completed,2026-04-28
H0100,E021,EV007,invited,2026-06-12
H0101,E022,EV011,invited,2026-01-23
H0102,E022,EV010,declined,2026-03-04
H0103,E022,EV024,skipped,2026-03-10
H0104,E022,EV021,completed,2026-03-24
H0105,E022,EV022,invited,2026-06-01
H0106,E023,EV020,completed,2026-02-16
H0107,E023,EV024,skipped,2026-02-24
H0108,E023,EV015,skipped,2026-03-08
H0109,E023,EV023,enrolled,2026-04-01
H0110,E023,EV012,completed,2026-05-05
H0111,E024,EV022,skipped,2026-03-03
H0112,E024,EV022,completed,2026-04-15
H0113,E024,EV003,completed,2026-05-06
H0114,E024,EV018,completed,2026-05-23
H0115,E024,EV018,completed,2026-06-26
H0116,E025,EV006,completed,2026-04-05
H0117,E025,EV024,skipped,2026-05-02
H0118,E025,EV006,skipped,2026-05-16
H0119,E025,EV005,completed,2026-05-22
H0120,E025,EV004,completed,2026-05-29
H0121,E026,EV009,completed,2026-01-31
H0122,E026,EV022,completed,2026-02-19
H0123,E026,EV024,enrolled,2026-03-22
H0124,E026,EV023,skipped,2026-05-18
H0125,E026,EV008,invited,2026-06-26
H0126,E027,EV003,skipped,2026-02-15
H0127,E027,EV013,completed,2026-02-28
H0128,E027,EV003,skipped,2026-03-17
H0129,E027,EV013,skipped,2026-03-19
H0130,E027,EV022,completed,2026-04-03
H0131,E028,EV022,completed,2026-01-04
H0132,E028,EV003,completed,2026-03-14
H0133,E028,EV022,completed,2026-05-01
H0134,E028,EV016,completed,2026-05-03
H0135,E028,EV016,skipped,2026-05-27
H0136,E029,EV002,enrolled,2026-01-14
H0137,E029,EV002,skipped,2026-02-08
H0138,E029,EV007,skipped,2026-03-19
H0139,E029,EV025,skipped,2026-05-25
H0140,E029,EV025,completed,2026-06-25
H0141,E030,EV011,skipped,2026-03-18
H0142,E030,EV003,skipped,2026-04-20
H0143,E030,EV008,enrolled,2026-04-24
H0144,E030,EV010,skipped,2026-04-26
H0145,E030,EV011,skipped,2026-05-31
H0146,E031,EV013,completed,2026-01-20
H0147,E031,EV022,skipped,2026-02-10
H0148,E031,EV022,completed,2026-02-14
H0149,E031,EV014,completed,2026-03-03
H0150,E031,EV015,skipped,2026-05-22
H0151,E032,EV025,skipped,2026-01-19
H0152,E032,EV018,completed,2026-03-01
H0153,E032,EV023,completed,2026-03-09
H0154,E032,EV017,invited,2026-04-27
H0155,E032,EV017,completed,2026-06-25
H0156,E033,EV020,completed,2026-02-12
H0157,E033,EV024,completed,2026-03-15
H0158,E033,EV007,enrolled,2026-03-20
H0159,E033,EV021,completed,2026-05-26
H0160,E033,EV020,completed,2026-06-02
H0161,E034,EV003,completed,2026-01-11
H0162,E034,EV025,invited,2026-03-06
H0163,E034,EV024,skipped,2026-03-24
H0164,E034,EV003,enrolled,2026-04-21
H0165,E034,EV025,invited,2026-06-04
H0166,E035,EV025,completed,2026-01-11
H0167,E035,EV015,completed,2026-02-14
H0168,E035,EV024,completed,2026-05-01
H0169,E035,EV022,enrolled,2026-05-13
H0170,E035,EV022,completed,2026-05-28
H0171,E036,EV020,completed,2026-01-27
H0172,E036,EV022,completed,2026-02-11
H0173,E036,EV021,declined,2026-03-24
H0174,E036,EV023,completed,2026-03-27
H0175,E036,EV016,completed,2026-06-21
H0176,E037,EV023,invited,2026-01-01
H0177,E037,EV020,completed,2026-01-30
H0178,E037,EV004,completed,2026-03-24
H0179,E037,EV022,declined,2026-04-14
H0180,E037,EV023,completed,2026-05-12
H0181,E038,EV011,completed,2026-01-14
H0182,E038,EV022,completed,2026-02-03
H0183,E038,EV025,skipped,2026-02-22
H0184,E038,EV010,skipped,2026-03-10
H0185,E038,EV011,skipped,2026-05-21
H0186,E039,EV022,enrolled,2026-01-24
H0187,E039,EV025,invited,2026-01-30
H0188,E039,EV022,enrolled,2026-02-27
H0189,E039,EV015,completed,2026-04-15
H0190,E039,EV015,completed,2026-05-22
H0191,E040,EV017,completed,2026-03-04
H0192,E040,EV024,completed,2026-04-27
H0193,E040,EV017,invited,2026-05-01
H0194,E040,EV019,declined,2026-05-04
H0195,E040,EV021,completed,2026-05-22
H0196,E041,EV026,skipped,2026-01-01
H0197,E041,EV023,completed,2026-03-10
H0198,E041,EV003,completed,2026-03-14
H0199,E041,EV020,completed,2026-03-18
H0200,E041,EV021,declined,2026-05-10
H0201,E042,EV010,skipped,2026-02-18
H0202,E042,EV010,invited,2026-03-24
H0203,E042,EV021,completed,2026-04-07
H0204,E042,EV022,skipped,2026-04-27
H0205,E042,EV021,completed,2026-06-28
H0206,E043,EV013,completed,2026-01-10
H0207,E043,EV024,completed,2026-02-08
H0208,E043,EV012,invited,2026-05-07
H0209,E043,EV022,completed,2026-06-16
H0210,E043,EV022,completed,2026-06-19
H0211,E044,EV022,declined,2026-01-20
H0212,E044,EV019,completed,2026-02-06
H0213,E044,EV021,skipped,2026-02-09
H0214,E044,EV020,invited,2026-04-15
H0215,E044,EV023,completed,2026-06-17
H0216,E045,EV022,completed,2026-01-10
H0217,E045,EV023,skipped,2026-03-23
H0218,E045,EV005,enrolled,2026-05-05
H0219,E045,EV024,completed,2026-05-19
H0220,E045,EV002,declined,2026-06-10
H0221,E046,EV003,completed,2026-01-26
H0222,E046,EV003,completed,2026-02-12
H0223,E046,EV020,completed,2026-03-18
H0224,E046,EV010,completed,2026-04-24
H0225,E046,EV024,skipped,2026-06-27
H0226,E047,EV021,skipped,2026-01-21
H0227,E047,EV014,completed,2026-02-13
H0228,E047,EV024,completed,2026-02-14
H0229,E047,EV022,skipped,2026-02-16
H0230,E047,EV022,completed,2026-06-06
H0231,E048,EV017,completed,2026-01-03
H0232,E048,EV020,enrolled,2026-03-15
H0233,E048,EV019,skipped,2026-04-30
H0234,E048,EV021,skipped,2026-05-20
H0235,E048,EV022,invited,2026-06-23
